PERMNO,date,DCLRDT,PAYDT,RCRDDT,DISTCD,DIVAMT,PRC,VOL,RET,vwretd
10401,19700102,,,,,,49.375,79500,0.015424,0.012137
10401,19700105,,,,,,50.625,126500,0.025316,0.006375
10401,19700106,,,,,,50.625,108800,0,-0.007233
10401,19700107,,,,,,50.5,60200,-0.002469,-0.001272
10401,19700108,,,,,,50.125,87500,-0.007426,0.000564
10401,19700109,,,,,,50.125,71400,0,-0.002797
10401,19700112,,,,,,49.75,65000,-0.007481,-0.007766
10401,19700113,,,,,,49.625,77600,-0.002513,0.000737
10401,19700114,,,,,,49.75,75800,0.002519,-0.002005
10401,19700115,,,,,,49.375,71500,-0.007538,0.000586
10401,19700116,,,,,,49.5,79400,0.002532,-0.007462
10401,19700119,,,,,,49,78700,-0.010101,-0.013079
10401,19700120,,,,,,49,172600,0,0.001938
10401,19700121,,,,,,,,,0.001017
10401,19700122,,,,,,48.375,209500,-0.012755,0.00143
10401,19700123,,,,,,48.625,108600,0.005168,-0.010282
10401,19700126,,,,,,48.375,95500,-0.005141,-0.011105
10401,19700127,,,,,,47.875,125200,-0.010336,-0.006204
10401,19700128,,,,,,46.625,176300,-0.02611,-0.009347
10401,19700129,,,,,,47.125,127900,0.010724,-0.012877
10401,19700130,,,,,,47.75,91500,0.013263,-0.00831
10401,19700202,,,,,,48.75,97100,0.020942,0.008193
10401,19700203,,,,,,48.875,104600,0.002564,0.012877
10401,19700204,,,,,,48.625,78400,-0.005115,-0.007084
10401,19700205,,,,,,48.5,62900,-0.002571,-0.00365
10401,19700206,,,,,,49.125,85500,0.012887,0.006175
10401,19700209,,,,,,49.5,75200,0.007634,0.008327
10401,19700210,,,,,,49.125,55700,-0.007576,-0.009082
10401,19700211,,,,,,49,46800,-0.002545,0.009372
10401,19700212,,,,,,48.875,66400,-0.002551,-0.001901
10401,19700213,,,,,,50,105400,0.023018,-0.00146
10401,19700216,,,,,,49.875,144600,-0.0025,-0.000427
10401,19700217,,,,,,50.125,77400,0.005013,-0.00185
10401,19700218,,,,,,50.25,85300,0.002494,0.012109
10401,19700219,,,,,,50.125,85000,-0.002488,0.003125
10401,19700220,19700218,19700401,19700227,1232,0.65,50.625,77500,0.022943,0.003433
10401,19700224,,,,,,50.25,75900,-0.007407,0.000125
10401,19700225,,,,,,50.875,85600,0.012438,0.01523
10401,19700226,,,,,,50.625,79700,-0.004914,-0.004799
10401,19700227,,,,,,51.25,83600,0.012346,0.007382
10401,19700302,,,,,,51.625,134600,0.007317,0.001419
10401,19700303,,,,,,52.75,109900,0.021792,0.005898
10401,19700304,,,,,,52.75,128400,0,-0.002036
10401,19700305,,,,,,52.75,79500,0,0.000019
10401,19700306,,,,,,52.5,74600,-0.004739,-0.006687
10401,19700309,,,,,,52.25,60700,-0.004762,-0.010391
10401,19700310,,,,,,52,80800,-0.004785,0.001629
10401,19700311,,,,,,52.25,61600,0.004808,-0.000948
10401,19700312,,,,,,52.625,87900,0.007177,-0.004613
10401,19700313,,,,,,52.875,73800,0.004751,-0.006061
10401,19700316,,,,,,51.875,56100,-0.018913,-0.011047
10401,19700317,,,,,,51.625,72000,-0.004819,0.003957
10401,19700318,,,,,,51.5,57100,-0.002421,0.002744
10401,19700319,,,,,,51.75,46500,0.004854,-0.002558
10401,19700320,,,,,,51.875,41100,0.002415,-0.004938
10401,19700323,,,,,,51.875,64000,0,-0.001172
10401,19700324,,,,,,52.5,89400,0.012048,0.010165
10401,19700325,,,,,,53.375,147800,0.016667,0.02153
10401,19700326,,,,,,53.125,82500,-0.004684,0.001617
10401,19700330,,,,,,52.75,72400,-0.007059,-0.002582
10401,19700331,,,,,,52.75,60800,0,-0.000239
10401,19700401,,,,,,52.5,48700,-0.004739,0.004733
10401,19700402,,,,,,51.75,66000,-0.014286,-0.003671
