PERMNO,date,DCLRDT,PAYDT,RCRDDT,DISTCD,DIVAMT,PRC,VOL,RET,vwretd
11850,20000103,,,,,,78.18750,6728599,-0.029480,-0.006803
11850,20000104,,,,,,76.81250,7255399,-0.017586,-0.039652
11850,20000105,,,,,,81.00000,8742500,0.054516,-0.000935
11850,20000106,,,,,,85.00000,9730699,0.049383,-0.007391
11850,20000107,,,,,,84.93750,8302799,-0.000735,0.032516
11850,20000110,,,,,,83.75000,4272699,-0.013981,0.018608
11850,20000111,,,,,,84.00000,4365799,0.002985,-0.016941
11850,20000112,,,,,,83.50000,5157199,-0.005952,-0.006922
11850,20000113,,,,,,85.25000,6027699,0.020958,0.016265
11850,20000114,,,,,,83.75000,5634399,-0.017595,0.011137
11850,20000118,,,,,,84.37500,5964500,0.007463,-0.000860
11850,20000119,,,,,,85.56250,6544399,0.014074,0.004631
11850,20000120,,,,,,83.68750,4806699,-0.021914,-0.002801
11850,20000121,,,,,,85.00000,7171799,0.015683,0.002655
11850,20000124,,,,,,84.25000,6229699,-0.008824,-0.025311
11850,20000125,,,,,,84.06250,5960799,-0.002226,0.005547
11850,20000126,,,,,,83.50000,4649000,-0.006691,-0.004530
11850,20000127,,,,,,81.00000,5274199,-0.029940,-0.003521
11850,20000128,,,,,,78.87500,5180500,-0.026235,-0.028051
11850,20000131,,,,,,83.43750,7204601,0.057845,0.014744
11850,20000201,,,,,,83.18750,5332699,-0.002996,0.012300
11850,20000202,,,,,,83.81250,5781399,0.007513,0.003106
11850,20000203,,,,,,82.37500,5805399,-0.017151,0.015598
11850,20000204,,,,,,80.87500,5718099,-0.018209,0.001021
11850,20000207,,,,,,80.75000,3550599,-0.001546,0.003075
11850,20000208,,,,,,78.93750,4686000,-0.022446,0.012724
11850,20000209,20000126,20000310,20000211,1232,0.44000,76.06250,6204000,-0.030847,-0.017185
11850,20000210,,,,,,75.87500,6737799,-0.002465,0.006488
11850,20000211,,,,,,73.87500,6232899,-0.026359,-0.017335
11850,20000214,,,,,,76.43750,4876799,0.034687,0.002672
11850,20000215,,,,,,79.31250,5391799,0.037612,0.007370
11850,20000216,,,,,,79.64063,5132099,0.004137,-0.005258
11850,20000217,,,,,,77.87500,5839199,-0.022170,0.005036
11850,20000218,,,,,,75.00000,6900299,-0.036918,-0.026050
11850,20000222,,,,,,75.43750,5427399,0.005833,0.000556
11850,20000223,,,,,,74.62500,4440799,-0.010771,0.012353
11850,20000224,,,,,,72.81250,5393199,-0.024288,-0.000378
11850,20000225,,,,,,71.06250,5900299,-0.024034,-0.009546
11850,20000228,,,,,,73.50000,5937600,0.034301,0.007756
11850,20000229,,,,,,75.31250,5234601,0.024660,0.019138
11850,20000301,,,,,,76.06250,4942299,0.009959,0.014596
11850,20000302,,,,,,76.62500,4900699,0.007395,-0.000614
11850,20000303,,,,,,75.68750,5103899,-0.012235,0.022590
11850,20000306,,,,,,72.93750,5248699,-0.036334,-0.006612
11850,20000307,,,,,,81.00000,11405500,0.110540,-0.021824
11850,20000308,,,,,,79.62500,9990699,-0.016975,0.006478
11850,20000309,,,,,,80.43750,5453099,0.010204,0.023977
11850,20000310,,,,,,77.00000,4714299,-0.042735,-0.002837
11850,20000313,,,,,,75.87500,4733699,-0.014610,-0.014555
11850,20000314,,,,,,77.25000,4523799,0.018122,-0.022405
11850,20000315,,,,,,77.75000,5939899,0.006472,0.006799
11850,20000316,,,,,,79.75000,5800399,0.025723,0.041149
11850,20000317,,,,,,77.12500,7464599,-0.032915,0.006478
11850,20000320,,,,,,74.87500,5342799,-0.029173,-0.016474
11850,20000321,,,,,,77.00000,5440299,0.028381,0.019027
11850,20000322,,,,,,74.93750,7126599,-0.026786,0.013567
11850,20000323,,,,,,75.50000,5057799,0.007506,0.014405
11850,20000324,,,,,,77.25000,4401899,0.023179,0.002147
11850,20000327,,,,,,76.75000,4830799,-0.006472,-0.003358
11850,20000328,,,,,,76.31250,4134399,-0.005700,-0.013168
11850,20000329,,,,,,80.56250,10376699,0.055692,-0.010693
11850,20000330,,,,,,78.62500,6637100,-0.024050,-0.018181
11850,20000331,,,,,,77.93750,6299699,-0.008744,0.012111
11850,20000403,,,,,,80.50000,4977799,0.032879,-0.017206
11850,20000404,,,,,,82.50000,8194599,0.024845,-0.012824
11850,20000405,,,,,,79.75000,6218199,-0.033333,0.001060
11850,20000406,,,,,,81.75000,4132599,0.025078,0.015859
11850,20000407,,,,,,79.56250,3914399,-0.026758,0.014535
11850,20000410,,,,,,78.25000,4546199,-0.016496,-0.019337
11850,20000411,,,,,,79.37500,5333199,0.014377,-0.010238
11850,20000412,,,,,,79.93750,4297399,0.007087,-0.029996
11850,20000413,,,,,,80.00000,4454699,0.000782,-0.017135
11850,20000414,,,,,,78.75000,5924099,-0.015625,-0.066175
11850,20000417,,,,,,75.50000,8103199,-0.041270,0.029299
11850,20000418,,,,,,76.18750,6030199,0.009106,0.038392
11850,20000419,,,,,,77.43750,6050000,0.016407,-0.007378
11850,20000420,,,,,,79.00000,4029000,0.020178,0.000561
11850,20000424,,,,,,79.87500,4454599,0.011076,-0.010579
11850,20000425,,,,,,81.00000,5852299,0.014085,0.038638
11850,20000426,,,,,,80.12500,4209000,-0.010802,-0.011333
11850,20000427,,,,,,80.68750,4831099,0.007020,0.007165
11850,20000428,,,,,,77.68750,4863800,-0.037180,0.000972
11850,20000501,,,,,,78.00000,4429699,0.004023,0.015141
11850,20000502,,,,,,78.25000,4043599,0.003205,-0.019366
11850,20000503,,,,,,77.18750,3532399,-0.013578,-0.021067
11850,20000504,,,,,,79.50000,5044699,0.029960,0.000882
11850,20000505,,,,,,80.00000,3539199,0.006289,0.015485
11850,20000508,,,,,,80.43750,3688299,0.005469,-0.010189
11850,20000509,,,,,,79.43750,4191799,-0.012432,-0.011780
11850,20000510,,,,,,81.50000,5683199,0.025964,-0.026778
11850,20000511,20000426,20000610,20000515,1232,0.44000,82.93750,5487199,0.023037,0.020428
11850,20000512,,,,,,82.01563,3984299,-0.011115,0.008521
11850,20000515,,,,,,83.62500,4452899,0.019623,0.020691
11850,20000516,,,,,,83.25000,4359500,-0.004484,0.013807
11850,20000517,,,,,,81.37500,5548099,-0.022523,-0.013413
11850,20000518,,,,,,81.06250,3533799,-0.003840,-0.010467
11850,20000519,,,,,,81.75000,4216500,0.008481,-0.024081
11850,20000522,,,,,,83.31250,4839000,0.019113,-0.007917
11850,20000523,,,,,,83.00000,4188699,-0.003751,-0.023379
11850,20000524,,,,,,82.93750,4603899,-0.000753,0.015412
11850,20000525,,,,,,81.43750,4308099,-0.018086,-0.011616
11850,20000526,,,,,,82.37500,2970099,0.011512,-0.001785
11850,20000530,,,,,,83.50000,5101299,0.013657,0.037875
11850,20000531,,,,,,83.31250,4923500,-0.002246,-0.001740
11850,20000601,,,,,,82.93750,5944899,-0.004501,0.025195
11850,20000602,,,,,,79.18750,9303699,-0.045215,0.029096
11850,20000605,,,,,,79.35938,4327199,0.002170,-0.003705
11850,20000606,,,,,,82.31250,6070500,0.037212,-0.007927
11850,20000607,,,,,,81.12500,4778899,-0.014427,0.011114
11850,20000608,,,,,,80.06250,5336199,-0.013097,-0.005120
11850,20000609,,,,,,79.18750,4694000,-0.010929,0.001025
11850,20000612,,,,,,80.75000,5500399,0.019732,-0.011024
11850,20000613,,,,,,81.18750,3775899,0.005418,0.014502
11850,20000614,,,,,,82.62500,5526599,0.017706,-0.000844
11850,20000615,,,,,,82.43750,5593799,-0.002269,0.004970
11850,20000616,,,,,,83.68750,9784500,0.015163,-0.006716
11850,20000619,,,,,,84.06250,4429699,0.004481,0.016156
11850,20000620,,,,,,83.25000,4241799,-0.009665,-0.002430
11850,20000621,,,,,,83.93750,4664799,0.008258,0.003636
11850,20000622,,,,,,82.68750,4670599,-0.014892,-0.018904
11850,20000623,,,,,,83.12500,2874799,0.005291,-0.009194
11850,20000626,,,,,,83.37500,3164199,0.003008,0.009773
11850,20000627,,,,,,82.06250,4031299,-0.015742,-0.005300
11850,20000628,,,,,,82.06250,3617799,0.000000,0.007521
11850,20000629,,,,,,81.18750,4683899,-0.010663,-0.006933
11850,20000630,,,,,,78.50000,9396699,-0.033102,0.007400
11850,20000703,,,,,,79.56250,3934000,0.013535,0.010019
11850,20000705,,,,,,76.93750,6801000,-0.032993,-0.015790
11850,20000706,,,,,,78.18750,4881399,0.016247,0.008412
11850,20000707,,,,,,78.50000,4504199,0.003997,0.014433
11850,20000710,,,,,,78.12500,3159199,-0.004777,-0.001199
11850,20000711,,,,,,80.56250,4380000,0.031200,0.002003
11850,20000712,,,,,,78.62500,3763199,-0.024050,0.013264
11850,20000713,,,,,,78.43750,3934199,-0.002385,0.005768
11850,20000714,,,,,,77.56250,4915500,-0.011155,0.009675
11850,20000717,,,,,,78.06250,5364799,0.006446,0.001402
