PERMNO,date,DCLRDT,PAYDT,RCRDDT,DISTCD,DIVAMT,PRC,VOL,RET,vwretd
47896,19690305,,,,,,64.50000,5400,C,0.003601
47896,19690306,,,,,,64.37500,4400,-0.001938,-0.011575
47896,19690307,,,,,,63.75000,2300,-0.009709,-0.001681
47896,19690310,19690227,19690401,19690314,1232,0.65000,62.00000,5700,-0.017255,0.003712
47896,19690311,,,,,,63.00000,7800,0.016129,0.004220
47896,19690312,,,,,,63.37500,7800,0.005952,-0.002623
47896,19690313,,,,,,63.50000,4500,0.001972,-0.006992
47896,19690314,,,,,,62.87500,6200,-0.009843,-0.004827
47896,19690317,,,,,,65.25000,10700,0.037773,0.002221
47896,19690318,,,,,,66.50000,22200,0.019157,0.003144
47896,19690319,,,,,,65.75000,11500,-0.011278,0.007123
47896,19690320,,,,,,65.50000,3000,-0.003802,0.006581
47896,19690321,,,,,,64.75000,4300,-0.011450,-0.001740
47896,19690324,,,,,,65.25000,3900,0.007722,-0.001368
47896,19690325,,,,,,65.62500,19800,0.005747,0.001506
47896,19690326,,,,,,66.50000,10000,0.013333,0.006519
47896,19690327,,,,,,67.50000,4500,0.015038,0.007121
47896,19690328,,,,,,67.50000,2500,0.000000,0.004108
47896,19690401,,,,,,67.00000,6000,-0.007407,-0.001097
47896,19690402,,,,,,67.62500,8500,0.009328,-0.006768
47896,19690403,,,,,,67.75000,1500,0.001848,-0.000530
47896,19690407,,,,,,67.00000,1900,-0.011070,-0.008552
47896,19690408,,,,,,66.75000,7200,-0.003731,0.002431
47896,19690409,,,,,,65.50000,5500,-0.018727,0.008183
47896,19690410,,,,,,65.00000,4100,-0.007634,0.004647
47896,19690411,,,,,,66.50000,11100,0.023077,0.001178
47896,19690414,,,,,,66.75000,8400,0.003759,-0.001027
47896,19690415,,,,,,66.50000,4800,-0.003745,-0.000700
47896,19690416,,,,,,66.37500,5300,-0.001880,-0.008500
47896,19690417,,,,,,67.00000,3500,0.009416,0.001435
47896,19690418,,,,,,66.75000,8300,-0.003731,0.004121
47896,19690421,,,,,,65.50000,3000,-0.018727,-0.007398
47896,19690422,,,,,,65.37500,5000,-0.001908,0.001858
47896,19690423,,,,,,65.50000,5000,0.001912,0.001276
47896,19690424,,,,,,65.50000,3000,0.000000,0.004366
47896,19690425,,,,,,64.87500,4000,-0.009542,0.004670
47896,19690428,,,,,,63.75000,3900,-0.017341,0.003699
47896,19690429,,,,,,65.00000,9300,0.019608,0.008457
47896,19690430,,,,,,65.25000,8900,0.003846,0.008935
47896,19690501,,,,,,66.00000,4200,0.011494,-0.000557
47896,19690502,,,,,,65.25000,7100,-0.011364,0.004740
47896,19690505,,,,,,64.75000,5300,-0.007663,0.004819
47896,19690506,,,,,,65.75000,5600,0.015444,0.004599
47896,19690507,,,,,,66.00000,8400,0.003802,-0.001617
47896,19690508,,,,,,66.50000,9200,0.007576,0.003739
47896,19690509,,,,,,66.75000,3100,0.003759,0.000982
47896,19690512,,,,,,66.50000,3200,-0.003745,-0.001551
47896,19690513,,,,,,66.25000,3600,-0.003759,0.004410
47896,19690514,,,,,,66.50000,14300,0.003774,0.007210
47896,19690515,,,,,,66.75000,5700,0.003759,-0.002767
47896,19690516,,,,,,66.62500,4600,-0.001873,0.000456
47896,19690519,,,,,,66.25000,3200,-0.005629,-0.008291
47896,19690520,,,,,,65.62500,2100,-0.009434,-0.008132
47896,19690521,,,,,,65.25000,3600,-0.005714,0.004428
47896,19690522,,,,,,65.50000,4900,0.003831,0.002050
47896,19690523,,,,,,65.12500,3800,-0.005725,0.000050
47896,19690526,,,,,,64.75000,2700,-0.005758,-0.001596
47896,19690527,,,,,,64.75000,4600,0.000000,-0.007757
47896,19690528,,,,,,64.75000,9600,0.000000,-0.002409
47896,19690529,,,,,,64.50000,4400,-0.003861,0.002571
47896,19690602,,,,,,63.50000,3400,-0.015504,-0.004721
47896,19690603,,,,,,63.50000,3800,0.000000,-0.003043
47896,19690604,,,,,,63.50000,2100,0.000000,-0.000365
47896,19690605,,,,,,63.25000,4300,-0.003937,0.000843
47896,19690606,,,,,,63.25000,1600,0.000000,-0.006642
47896,19690609,19690523,19690701,19690613,1232,0.65000,62.50000,8200,-0.001581,-0.009556
47896,19690610,,,,,,62.50000,1700,0.000000,-0.007658
47896,19690611,,,,,,62.25000,35500,-0.004000,-0.009927
47896,19690612,,,,,,61.87500,2700,-0.006024,-0.013992
47896,19690613,,,,,,61.25000,9100,-0.010101,0.003343
47896,19690616,,,,,,61.50000,10300,0.004082,-0.003867
47896,19690617,,,,,,62.00000,5900,0.008130,-0.005053
47896,19690618,,,,,,62.25000,10200,0.004032,-0.001961
47896,19690619,,,,,,61.62500,3500,-0.010040,-0.008486
47896,19690620,,,,,,61.37500,9100,-0.004057,-0.007028
47896,19690623,,,,,,59.00000,10300,-0.038697,-0.006658
47896,19690624,,,,,,59.75000,11500,0.012712,0.011089
47896,19690625,,,,,,59.62500,4700,-0.002092,-0.004069
47896,19690626,,,,,,59.62500,8300,0.000000,0.001958
47896,19690627,,,,,,59.87500,3400,0.004193,0.000923
47896,19690630,,,,,,59.62500,1500,-0.004175,0.004847
47896,19690701,,,,,,60.37500,1800,0.012579,0.004875
47896,19690702,,,,,,62.50000,5600,0.035197,0.009085
47896,19690703,,,,,,63.75000,6200,0.020000,0.007779
47896,19690707,,,,,,64.12500,3500,0.005882,-0.006503
47896,19690708,,,,,,63.62500,3300,-0.007797,-0.013697
47896,19690709,,,,,,62.00000,4400,-0.025540,-0.007830
47896,19690710,,,,,,61.50000,3600,-0.008065,-0.015861
47896,19690711,,,,,,61.37500,3700,-0.002033,0.003073
47896,19690714,,,,,,61.25000,3500,-0.002037,-0.013474
47896,19690715,,,,,,59.00000,18000,-0.036735,-0.004222
47896,19690716,,,,,,59.00000,3600,0.000000,0.010889
47896,19690717,,,,,,60.00000,3200,0.016949,0.005329
47896,19690718,,,,,,59.00000,1100,-0.016667,-0.007512
47896,19690722,,,,,,58.50000,2800,-0.008475,-0.015375
47896,19690723,,,,,,57.25000,3000,-0.021368,-0.005129
47896,19690724,,,,,,56.87500,4900,-0.006550,-0.003973
47896,19690725,,,,,,55.75000,6900,-0.019780,-0.010021
47896,19690728,,,,,,53.25000,10200,-0.044843,-0.022513
47896,19690729,,,,,,52.50000,5200,-0.014085,-0.008916
47896,19690730,,,,,,51.62500,3900,-0.016667,0.005460
47896,19690731,,,,,,53.00000,17400,0.026634,0.022414
47896,19690801,,,,,,55.00000,12600,0.037736,0.019937
47896,19690804,,,,,,54.87500,3200,-0.002273,-0.005092
47896,19690805,,,,,,54.00000,4000,-0.015945,0.004302
47896,19690806,,,,,,54.25000,13100,0.004630,0.006863
47896,19690807,,,,,,56.25000,7400,0.036866,0.001223
47896,19690808,,,,,,55.75000,2600,-0.008889,0.000074
47896,19690811,,,,,,56.12500,1500,0.006726,-0.005705
47896,19690812,,,,,,55.62500,2900,-0.008909,-0.008044
47896,19690813,,,,,,54.50000,3100,-0.020225,0.000487
47896,19690814,,,,,,56.00000,3100,0.027523,0.007898
47896,19690815,,,,,,56.87500,2600,0.015625,0.008121
47896,19690818,,,,,,57.87500,900,0.017582,0.007598
47896,19690819,,,,,,60.50000,3500,0.045356,0.005615
47896,19690820,,,,,,59.50000,4100,-0.016529,-0.000056
47896,19690821,,,,,,61.37500,5600,0.031513,0.002618
47896,19690822,,,,,,61.25000,2300,-0.002037,0.006663
47896,19690825,,,,,,60.50000,11300,-0.012245,-0.008998
47896,19690826,,,,,,59.87500,2200,-0.010331,-0.007066
47896,19690827,,,,,,59.50000,2700,-0.006263,0.002864
47896,19690828,,,,,,58.25000,2900,-0.021008,0.004220
47896,19690829,,,,,,59.50000,3200,0.021459,0.007542
47896,19690902,,,,,,60.00000,6900,0.008403,-0.000740
47896,19690903,,,,,,60.00000,7700,0.000000,-0.006656
47896,19690904,,,,,,60.00000,5500,0.000000,-0.008322
47896,19690905,,,,,,58.00000,3100,-0.033333,-0.006092
47896,19690908,,,,,,56.87500,5100,-0.019397,-0.010367
47896,19690909,,19691001,19690915,1232,0.65000,56.50000,6300,0.004835,0.007667
47896,19690910,,,,,,57.75000,15000,0.022124,0.016643
47896,19690911,,,,,,59.12500,14200,0.023810,-0.006564
47896,19690912,,,,,,58.62500,4000,-0.008457,0.000797
47896,19690915,,,,,,60.00000,7700,0.023454,0.006495
47896,19690916,,,,,,60.00000,3400,0.000000,0.001628
47896,19690917,,,,,,59.12500,6400,-0.014583,-0.002702
47896,19690918,,,,,,59.87500,3600,0.012685,0.003360
47896,19690919,,,,,,59.00000,6300,-0.014614,0.003881
47896,19690922,,,,,,58.87500,1800,-0.002119,0.004287
47896,19690923,,,,,,58.25000,5500,-0.010616,-0.000056
47896,19690924,,,,,,58.62500,7200,0.006438,-0.001608
47896,19690925,,,,,,58.75000,2500,0.002132,-0.007090
47896,19690926,,,,,,58.25000,5600,-0.008511,-0.006588
47896,19690929,,,,,,57.62500,1700,-0.010730,-0.006822
47896,19690930,,,,,,57.62500,2700,0.000000,-0.002984
47896,19691001,,,,,,58.37500,2000,0.013015,-0.006157
