,Mean,StdErr,T-Stat,P-Stat,Sig
Constant,0.015484287989956805,0.015709129694151988,4.479822477198491,8.878885507347702e-06,1%
LogSize_-1,-0.001009759037792123,0.0025943101653297814,-1.7751759650492902,0.0763538861833738,10%
LogB/M_-1,0.002264854758685267,0.00682297394487368,2.4036265528404726,0.016522627401034,5%
"Return_-2,-12",0.006644648403052603,0.010927629223723223,3.7302538443602655,0.00020863334455450811,1%
"LogIssues_-1,-36",-0.0009192786631591177,0.013874442280518312,-0.20754754264353023,0.8356496583551666,NotSig
Accruals_Yr-1,-1.314464489491764e-05,4.180541295064297e-05,-1.0161465332997746,0.30995155278279574,NotSig
ROA_Yr-1,0.015216148165277159,0.06400602451092526,2.25895631963567,0.02422876096400287,5%
LogAG_Yr-1,-0.0071150998758075885,0.020817321287072706,-3.827034329726952,0.00014269494438969187,1%
"DY_-1,-12",0.004185848951292845,0.19514896574295118,0.20953285583612136,0.8341003509198199,NotSig
"LogReturn_-13,-36",1.130764878658809e-06,0.006396494471088786,0.0015508278367932923,0.9987631121844325,NotSig
"LogIssues_-1,-12",0.0030012378238997548,0.03100626337996481,0.6172740910162708,0.5372780487721365,NotSig
"Turnover_-1,-12",-2.324723932097854e-08,1.0137259459471513e-07,-1.3028441325244373,0.1931062608496284,NotSig
Debt/Price_Yr-1,-0.0007264841868521991,0.005258284223814609,-1.7483716738889443,0.08088909326862131,10%
Sales/Price_Yr-1,0.0005926165995387747,0.0019847111568705783,1.469529411047097,0.1421908186969939,NotSig
